Water.System.No.,Unnamed,Regulating Agency,System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,SC,Pop,Last SNSV,tag,log SC
5610039,308,DISTRICT 06 - SANTA BARBARA,CHANNEL ISLANDS BEACH CSD,C,C,D2,There are no treatment plants,C1,1866,4861,5/16/2019,Bin B,3.2709116394104805
3610062,196,DISTRICT 13 - SAN BERNARDINO,RUNNING SPRINGS WATER DISTRICT,C,C,D2,T2,C1,2999,4862,9/19/2012,Bin B,3.47697646575953
5410006,195,DISTRICT 24 - TULARE,"LINDSAY, CITY OF",C,C,D3,T3,DAVCL,3040,14415,12/20/2019,Bin B,3.4828735836087503
1710003,209,DISTRICT 03 - MENDOCINO,HIGHLANDS MUTUAL WATER COMPANY,C,C,D2,T4,DAVCL,2877,9494,12/9/2016,Bin B,3.45893986189033
2310005,438,DISTRICT 03 - MENDOCINO,WILLOW COUNTY WATER DISTRICT,C,C,D3,T1,DAVCL,1070,3797,6/4/2019,Bin B,3.02938377768521
1910085,297,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #2,C,C,D2,T2,C1,1924,7118,8/14/2018,Bin B,3.2842050677017904
4910011,204,DISTRICT 18 - SONOMA,"SEBASTOPOL, CITY OF",C,C,D2,T2,C1,2936,7786,5/24/2017,Bin B,3.46775605124403
1610002,292,DISTRICT 12 - VISALIA,"AVENAL, CITY OF",C,C,D3,T3,DAVCL,1953,13218,8/6/2019,Bin B,3.29070224328785
4110010,338,DISTRICT 17 - SANTA CLARA,MONTARA WATER AND SANITARY DISTRICT,C,C,D2,T3,C1,1664,5289,6/14/2018,Bin B,3.2211533219547097
3310019,343,DISTRICT 20 - RIVERSIDE,IDYLLWILD WATER DISTRICT,C,C,D2,T2,C1,1649,2500,12/10/2018,Bin B,3.2172206556445198
4910008,398,DISTRICT 18 - SONOMA,RUSSIAN RIVER COUNTY WATER DISTRICT,C,C,D2,T1,C1,1253,4150,5/21/2014,Bin B,3.0979510709941502
3610705,181,DISTRICT 13 - SAN BERNARDINO,US ARMY FORT IRWIN,C,C,D4,T3,C1,3315,16000,3/24/2016,Bin B,3.52048353274079
1010025,236,DISTRICT 23 - FRESNO,CITY OF PARLIER,C,C,D3,TD,DAVCL,2580,15250,3/22/2019,Bin B,3.41161970596323
3710044,442,DISTRICT 14 - SAN DIEGO,RINCON DEL DIABLO MWD (ID-A),C,C,D4,There are no treatment plants,C1,1059,2700,4/4/2017,Bin B,3.0248959601074796
3010047,242,DISTRICT 08 - SANTA ANA,GOLDEN STATE WC - COWAN HEIGHTS,C,C,D3,TD,C1,2520,7224,4/17/2018,Bin B,3.40140054078154
410008,193,DISTRICT 21 - VALLEY,THERMALITO WATER & SEWER DIST,C,C,D2,T3,DAVCL,3059,10095,4/17/2020,Bin B,3.48557947698468
3610114,404,DISTRICT 13 - SAN BERNARDINO,CLAWA,C,C,D3,T3,C1,1223,2320,9/25/2018,Bin B,3.0874264570362904
4210024,375,DISTRICT 06 - SANTA BARBARA,LA CUMBRE MUTUAL WATER CO,C,C,D3,T1,C1,1436,4861,9/18/2018,Bin B,3.15715443990628
1910165,379,DISTRICT 07 - HOLLYWOOD,VALLEY VIEW MUTUAL WATER CO.,C,C,D2,TD,DAVCL,1389,4571,11/8/2017,Bin B,3.14270224573762
3110001,186,DISTRICT 02 - LASSEN,NORTH TAHOE PUD - MAIN,C,C,D2,T2,C1,3261,5300,9/25/2017,Bin B,3.51335079880596
2710009,228,DISTRICT 05 - MONTEREY,CWSC KING CITY,C,C,D3,T1,C1,2701,14441,4/4/2017,Bin B,3.4315245841874504
5410019,432,DISTRICT 24 - TULARE,IVANHOE PUBLIC UTILITY DIST,C,C,D2,There are no treatment plants,DAVCL,1118,4495,4/9/2020,Bin B,3.0484418035504
1310800,289,DISTRICT 14 - SAN DIEGO,CALIPATRIA STATE PRISON,C,C,D2,T2,C1,2001,4800,3/18/2015,Bin B,3.30124708863621
