Water.System.No.,Unnamed,Regulating Agency,System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,SC,Pop,Last SNSV,tag,log SC
1500579,2158,DISTRICT 19 - TEHACHAPI,LIFE WATER CO-OP,C,C,D1,TD,SC,18,27,12/6/2017,Bin A,1.25527250510331
400155,1875,LPA34 - BUTTE COUNTY,BIGGERS GLEN MUTUAL WATER CO,C,C,D1,TD,SC,29,25,5/29/2019,Bin A,1.4623979978989599
1800534,1252,DISTRICT 02 - LASSEN,SPAULDING EAGLE LAKE MWC,C,C,D1,TD,SC,82,289,7/26/2018,Bin A,1.91381385238372
4200693,1464,LPA72 - SANTA BARBARA COUNTY,ELLWOOD MUTUAL WATER CO.,C,C,D1,T1,SC,56,186,11/21/2019,Bin A,1.7481880270062
310011,689,DISTRICT 10 - STOCKTON,FIRST MACE MEADOW # 1,C,C,D1,There are no treatment plants,SC,337,838,6/18/2019,Bin A,2.52762990087134
2700541,2212,LPA57 - MONTEREY COUNTY,DEL MONTE FARMS RD WS #03,C,C,D1,There are no treatment plants,SC,16,55,10/16/2017,Bin A,1.20411998265592
5500071,1143,DISTRICT 11 - MERCED,RAWHIDE INVESTMENT COMPANY,C,C,D1,TD,SC,100,269,12/5/2017,Bin A,2.0
1200547,1755,DISTRICT 01 - KLAMATH,MILL CREEK M.W.C.,C,C,D1,There are no treatment plants,SC,36,65,5/24/2018,Bin A,1.55630250076729
2701040,1998,LPA57 - MONTEREY COUNTY,MCCOY RD WS #05,C,C,D1,There are no treatment plants,SC,24,72,8/26/2016,Bin A,1.38021124171161
2510002,744,DISTRICT 01 - KLAMATH,CEDARVILLE COUNTY WATER DIST.,C,C,D1,There are no treatment plants,SC,290,500,6/24/2019,Bin A,2.4623979978989596
707519,2153,LPA37 - CONTRA COSTA COUNTY,DUTCH SLOUGH WATER WORKS,C,C,D1,There are no treatment plants,SC,18,49,9/12/2018,Bin A,1.25527250510331
5310002,564,DISTRICT 01 - KLAMATH,TRINITY CO. W.W. DIST #1,C,C,D2,T3,DAVCS,580,1775,12/10/2019,Bin A,2.7634279935629396
4900639,2171,DISTRICT 18 - SONOMA,REDWOOD HEIGHTS MUTUAL WATER COMPANY,C,C,D1,TD,SC,18,30,6/15/2020,Bin A,1.25527250510331
5403113,1807,DISTRICT 24 - TULARE,SOUTH FORK ESTATES MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,33,92,9/20/2018,Bin A,1.5185139398778897
4900653,1909,DISTRICT 18 - SONOMA,LONE PINE MUTUAL WATER COMPANY,C,C,D1,TD,SC,28,65,10/27/2017,Bin A,1.44715803134222
5400665,651,DISTRICT 12 - VISALIA,DEL ORO RIVER ISLAND SERV TERR #1,C,C,D1,There are no treatment plants,SC,390,1287,12/5/2018,Bin A,2.5910646070265
3910701,1347,DISTRICT 10 - STOCKTON,"DEFENSE DISTRIB. DEPOT, SHARPE SITE",C,C,D1,T2,SC,70,500,2/28/2019,Bin A,1.84509804001426
1800512,927,DISTRICT 02 - LASSEN,CLEAR CREEK CSD-WESTWOOD,C,C,D1,There are no treatment plants,DAVCS,166,400,9/9/2019,Bin A,2.2201080880400497
3000585,1760,DISTRICT 08 - SANTA ANA,PAGE AVENUE MUTUAL WATER COMPANY,C,C,D1,TD,SC,36,115,4/18/2019,Bin A,1.55630250076729
1910081,613,DISTRICT 16 - CENTRAL,LYNWOOD PARK MUTUAL WATER CO.,C,C,D1,T1,SC,470,2300,6/27/2018,Bin A,2.67209785793572
900102,1693,LPA39 - EL DORADO COUNTY,GOLD BEACH PARK,C,C,NR,T1,SC,40,100,7/3/2019,Bin A,1.6020599913279598
3301280,1705,LPA63 - RIVERSIDE COUNTY,GOLDEN ERA PRODUCTIONS,C,C,D1,T1,SC,40,500,5/15/2019,Bin A,1.6020599913279598
4510009,646,DISTRICT 02 - LASSEN,SHASTA FOREST VILLAGE M.W.C.,C,C,D1,There are no treatment plants,SC,399,750,7/2/2018,Bin A,2.60097289568675
3600200,1023,LPA66 - SAN BERNARDINO COUNTY,RANCHERITOS MWC,C,C,D1,There are no treatment plants,SC,131,655,8/7/2018,Bin A,2.11727129565576
3700919,1003,DISTRICT 14 - SAN DIEGO,LAKE WOHLFORD RESORT,C,C,D1,T2,SC,137,250,6/6/2018,Bin A,2.13672056715641
5410503,1043,DISTRICT 12 - VISALIA,NPS-WOLVERTON,C,C,D2,T2,SC,125,2940,7/17/2018,Bin A,2.0969100130080602
1500458,1990,DISTRICT 19 - TEHACHAPI,R.S. MUTUAL WATER COMPANY,C,C,D1,TD,SC,24,67,4/19/2018,Bin A,1.38021124171161
4900552,1412,DISTRICT 18 - SONOMA,MICHELE MUTUAL WATER COMPANY,C,C,D1,TD,SC,62,170,10/22/2019,Bin A,1.79239168949825
1500442,2091,DISTRICT 19 - TEHACHAPI,SUNSET APARTMENTS WS,C,C,D1,There are no treatment plants,SC,20,37,11/21/2019,Bin A,1.30102999566398
1500333,1238,DISTRICT 19 - TEHACHAPI,CWS - FREMONT VALLEY,C,C,D1,TD,SC,84,116,10/30/2018,Bin A,1.92427928606188
