STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	33.516129032258	43.0806451612903	59.9193548387097	35.7258064516129	22.927449120997	30.2870388322895	37.2374663525739	21.7393171872271	62	7	1	0	2.0883543315591
2	892	1323	1591.33333333333	843.166666666667	440.333585667351	657.561150515043	794.929277077877	436.847577028368	6	7	1	0	4.06109854792898
3	39.6333333333333	52.4333333333334	75.7	44.5666666666666	42.7835305308271	61.2198173816107	73.2326639269911	40.7462040669056	30	7	1	0	2
4	178.030303030303	239	301.090909090909	149.727272727273	89.6565362250357	119.191426261607	143.246608105929	68.2232156521929	33	7	1	0	3.48850920891022
5	1530.6	2330	2720.4	1572	739.433424995111	1013.15800840738	1035.63303829107	615.386017065711	5	7	1	0	4.767589642178
6	2348	3428	3943.5	2221	822	1281	1488.5	931	2	7	1	0	2
7	4337	7846	8554	5823	0	0	0	0	1	7	1	0	1
8	113.23076923077	148.442307692308	190.923076923077	94.0961538461539	23.2163051887622	34.7729445239129	41.7928153558992	30.7427296920269	52	7	1	0	2.47678568607949
9	305.458333333333	406.833333333333	490.791666666667	218.375	46.7049883302414	66.6307563874166	71.8159761673569	57.5651229222836	24	7	1	0	2.1405098131447
10	384.818181818182	518.272727272727	613.454545454545	303	131.208942318813	158.657308961024	181.505066047214	76.3425791674567	11	7	1	0	2
11	644.947368421053	910.684210526316	1069.68421052632	506.105263157895	210.618570407923	306.689081344918	346.586167250858	202.917490437654	19	7	1	0	5.97362751394341
