STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	371.963636363636	438.036363636364	511.509090909091	218.763636363636	554.34388690614	691.317976742114	800.798370751526	356.54644162089	55	3	1	0	12.9023091184626
2	1634	2437	2655	887	0	0	0	0	1	3	1	0	1
3	1716.9	2202.9	2625.1	1241.5	603.845299932027	698.005186227151	705.358647249752	428.845280958063	10	3	1	0	2.77390055400357
4	2239.54545454545	2999.45454545455	3434.90909090909	1559.72727272727	491.671631155774	700.535266457047	813.766997723563	467.546825682405	11	3	1	0	3.20824766065952
5	3279.66666666667	4612.33333333333	6031.83333333333	3433	461.030202071645	477.832219120508	749.671301428289	640.008723898875	6	3	1	0	2.33439610688813
6	7126.6	12209.4	13176.8	7985.4	10601.5594980173	19178.2036434594	20405.6215332932	13214.9009148764	5	3	1	0	5
7	153.4375	157.666666666667	194.270833333334	67.6041666666667	36.2375598249169	39.7571016702401	38.6419898577398	20.2090223729313	48	3	1	0	2
8	309.866666666667	326.152380952381	397.152380952381	137.219047619048	72.3454299577451	80.7217091885039	103.60658763934	44.5452291434963	105	3	1	0	3.10339245056547
9	616.714285714286	706.485714285714	878.371428571428	355.114285714286	112.245431137984	139.44166550016	172.36341860601	100.606839056477	35	3	1	0	2.20961326481765
10	818.027027027027	932.135135135135	1096.37837837838	400.756756756757	229.277975436566	305.014016826359	359.045344874408	143.767274142413	37	3	1	0	3.51681963570025
11	1386.625	1606.5	1880.625	816.75	171.386875044444	194.789409523465	247.946235981714	135.377394946497	8	3	1	0	2
