STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	324.971014492754	326.536231884058	322.304347826087	135.855072463768	283.460482331765	292.847338952073	290.646962681333	126.98822271402	69	6	1	0	11.7797815351891
2	708.6	778.2	1026.6	507.6	572.691051091249	615.842317480701	842.3235957754	412.650748212093	5	6	1	0	2
3	318.75	319.15	327.65	142.9	128.765387430008	128.529848794939	145.071456530911	85.9142568567639	20	6	1	0	2
4	1661.16666666667	2068.5	2193.33333333333	954.666666666667	575.18414925618	653.183167266273	562.217200515562	378.700207581435	6	6	1	0	2.17810090775246
5	2736.15384615385	3504.69230769231	3660.15384615385	1453.53846153846	951.60990885922	1342.68990976583	1310.85895774511	523.701781754672	13	6	1	0	7.60969928616276
6	1534.66666666667	1816.16666666667	2002.16666666667	884.5	704.694654127272	788.904602738647	880.265379808208	398.724946966368	6	6	1	0	2.60989312598647
7	4568	7071.33333333333	7340.33333333333	4217.5	3193.38513571414	6057.55912178238	5878.63092172735	4192.481335677	6	6	1	0	6
8	747.971428571429	767.428571428571	784.485714285714	338.885714285714	340.803589261491	362.304394747724	363.132391335706	172.767869089044	35	6	1	0	7.26878107880868
9	952.75	1081.75	1109.3125	438.625	193.612758206442	324.2944305586	455.966714161058	186.517945394221	16	6	1	0	2.13293613461248
10	1494.3	1639.7	1720.6	615.3	337.35087075625	369.921807052968	436.158554248847	173.894568952314	10	6	1	0	2.05948351323886
