STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	82.8503937007876	85.7874015748032	103.141732283465	45.8188976377953	47.7813071889008	50.3465765659313	63.4586326226446	30.3596047779668	381	2	1	0	5.23399330507207
2	293.515151515152	299.666666666667	361.242424242424	182.121212121212	364.805866420034	408.119852461338	468.821592729699	238.225696584161	33	2	1	0	3.55725188690832
3	516.181818181818	593.909090909091	722.454545454545	450.272727272727	889.019612259793	1137.97252892327	1432.28546719921	943.546503306892	11	2	1	0	4.69643228833862
4	397.5	379.333333333333	438	222.333333333333	666.77841771711	625.948324988218	686.444500366441	360.545959468261	6	2	1	0	2
5	1845.44444444444	2204.66666666667	2564.33333333333	1034.22222222222	933.145869996411	1176.64309655335	1374.43287657936	567.219011744097	9	2	1	0	2.30996480610541
6	1957	2802	2845	1318	0	0	0	0	1	2	1	0	1
7	859.416666666667	994.75	1180.91666666667	522.666666666667	403.675306829166	540.45096267428	560.55949439757	273.00647424452	12	2	1	0	2
8	2259.33333333333	2815.33333333333	3444.16666666666	1564.16666666667	440.658555985202	652.307017013035	663.25174679727	454.446906404632	6	2	1	0	2
9	4858.5	9289.83333333333	8855.16666666667	5622.33333333333	6520.13603513505	15650.4319673257	13673.5772010188	8932.53119299837	6	2	1	0	6
10	1489	1806.33333333333	2691.66666666667	1400	565.056339373931	652.552594730025	1619.24618950369	853.428770704777	3	2	1	0	2
11	2976	3945.25	4688.75	2525.5	149.989166275435	500.667491954491	496.701809439023	190.580691571838	4	2	1	0	2
12	3932.06666666667	5903.93333333333	6100.33333333333	3570	3263.69713845442	5154.72350460128	5144.87042851637	3039.14977145473	15	2	1	0	15
13	202.327731092437	211.428571428572	248.084033613445	111.403361344538	60.031120933992	68.1381089258287	80.9530579430026	41.9352493412635	119	2	1	0	2.25807448580906
14	440.083333333333	479.283333333333	558.333333333333	280.05	364.528986629392	447.931681006434	520.240103921	267.99023229685	60	2	1	0	7.27582572511416
15	309.47311827957	330.956989247312	400.236559139785	168.989247311828	101.406485502409	124.620305967159	134.249550730093	63.6650503179329	93	2	1	0	2.67914432027681
16	533.363636363636	550	702.363636363636	357.727272727273	289.677713446487	344.449029816335	547.871934494713	251.16956909231	22	2	1	0	2.50035557581847
17	750.206896551724	839.586206896552	954.620689655173	451.379310344827	297.852508999317	380.84121460396	414.834795929975	214.045678783281	29	2	1	0	2.80877231016559
18	585.78125	672.203125	806.6875	372.0625	115.341011050406	139.14894981944	163.646937809546	109.372300321275	64	2	1	0	3.16737431762822
19	842.666666666667	984.777777777778	1169	557.888888888889	224.729872414763	242.437461708182	266.462369659291	163.768019835949	9	2	1	0	2
20	1003.37931034483	1183.62068965517	1416.68965517241	682.551724137931	181.128167940173	253.628878653957	250.359136024004	163.133626052799	29	2	1	0	2.14068890590541
21	1679	2140	2031	1064	0	0	0	0	1	2	1	0	1
