STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	73.6279069767442	66.2906976744186	83.2674418604652	43.6627906976745	131.620125040891	127.217051590993	146.421230358813	63.0021331738157	86	5	1	0	5.33360117617007
2	343.225	339.375	385.375	180.775	348.051060068684	386.10240074944	429.090017435318	203.155633950244	40	5	1	0	6.8173127283908
3	862.5	1053.66666666667	1138.5	466.833333333333	885.575636709442	1240.94509234785	1295.32989684739	472.791106679848	6	5	1	0	2.83007333912402
4	40	30	52	38	0	0	0	0	1	5	1	0	1
5	220.916666666667	250.722222222222	282.166666666667	128.472222222222	207.886147722213	276.044891645085	263.944603636042	112.801511721151	36	5	1	0	3.90079928372024
6	107.375	96.5416666666668	121.583333333333	65.875	86.5937591169729	77.1263594541895	90.799781160977	49.3465725258516	24	5	1	0	2
7	396.169811320755	407.264150943396	468.924528301887	204.735849056604	263.664276382033	275.543833026434	295.619342301305	123.789889341203	53	5	1	0	6.72332288527361
8	1420.33333333333	1837	1844.83333333333	934.333333333333	666.684437263154	906.976938332319	924.930072431905	551.940377718061	6	5	1	0	2.10507978749573
9	525.222222222222	482.444444444444	551.222222222222	238.444444444444	387.825061587131	378.740188317682	419.722906683757	154.916917597868	9	5	1	0	2
10	2024.5	2003.5	2479.5	854	23.5	15.5	160.5	35	2	5	1	0	2
11	2308	2631.55555555556	2948.55555555556	1424.22222222222	365.518467385712	383.151728318665	420.69747715425	329.513890937829	9	5	1	0	2
12	3249.81818181818	4309.31818181818	4449.09090909091	2288.22727272727	3082.08420742184	5157.64834376111	4754.5817158022	2760.9383044215	22	5	1	0	22
13	1887.5	2064	2181	1070	846.5	887	987	458	2	5	1	0	2
14	140.344827586207	139.51724137931	173.275862068965	74.103448275862	37.9599435809151	45.8978774934077	59.5817501310281	22.1132665083079	29	5	1	0	2
15	318.835616438356	319.972602739726	377.534246575342	176.301369863014	181.868259703884	215.974667050141	224.504668236992	111.59478172403	73	5	1	0	6.64537749178947
16	737.28125	759.96875	886.90625	399.4375	285.794335554858	377.779106458933	448.745009861801	182.559126409546	32	5	1	0	4.75871713373751
17	944.357142857142	971.678571428571	1077.75	491.571428571429	243.355559448628	257.154492268734	226.717473406917	169.863866791066	28	5	1	0	3.28873042483261
18	1304.53846153846	1390	1622.23076923077	757.384615384615	364.54884982033	319.511228619082	438.42612373846	216.731729724322	13	5	1	0	2.18254620774113
